task_id,category,route,variant,prompt_local,completion_local,prompt_cloud,completion_cloud,total_local,total_cloud,total,cloud_fraction,functional_pass,composite,cost_openai-gpt5.5_usd,cost_openai-gpt5_usd,cost_openai-gpt5-mini_usd,cost_anthropic-claude-opus-4.7_usd,cost_anthropic-claude-sonnet-4.6_usd,cost_anthropic-claude-haiku-4.5_usd
swebench-verified/django__django-11163,B,R1,v1-qwen,0,0,177,667,0,844,844,1.000000,true,1.000000,0.020895,0.006891,0.001378,0.052680,0.010536,0.003512
swebench-verified/django__django-11163,B,R2,v1-qwen,200,173,0,0,373,0,373,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/django__django-11163,B,R3,v1-qwen,8804,2017,3130,1658,10821,4788,15609,0.306746,true,1.000000,0.065390,0.020493,0.004098,0.171300,0.034260,0.011420
bigcodebench-hard/BigCodeBench/214,C,R1,v1-qwen,0,0,130,792,0,922,922,1.000000,false,0.800000,0.024410,0.008082,0.001616,0.061350,0.012270,0.004090
bigcodebench-hard/BigCodeBench/214,C,R2,v1-qwen,147,324,0,0,471,0,471,0.000000,false,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bigcodebench-hard/BigCodeBench/214,C,R3,v1-qwen,4004,746,1588,1348,4750,2936,7686,0.381993,false,0.800000,0.048380,0.015465,0.003093,0.124920,0.024984,0.008328
bigcodebench-hard/BigCodeBench/82,C,R1,v1-qwen,0,0,247,1031,0,1278,1278,1.000000,false,0.833333,0.032165,0.010619,0.002124,0.081030,0.016206,0.005402
bigcodebench-hard/BigCodeBench/82,C,R2,v1-qwen,261,706,0,0,967,0,967,0.000000,false,0.833333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bigcodebench-hard/BigCodeBench/82,C,R3,v1-qwen,10448,3634,4656,2122,14082,6778,20860,0.324928,false,0.833333,0.086940,0.027040,0.005408,0.228990,0.045798,0.015266
bigcodebench-hard/BigCodeBench/530,C,R1,v1-qwen,0,0,263,960,0,1223,1223,1.000000,true,1.000000,0.030115,0.009929,0.001986,0.075945,0.015189,0.005063
bigcodebench-hard/BigCodeBench/530,C,R2,v1-qwen,269,674,0,0,943,0,943,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bigcodebench-hard/BigCodeBench/530,C,R3,v1-qwen,8698,2994,4126,1766,11692,5892,17584,0.335077,true,1.000000,0.073610,0.022817,0.004563,0.194340,0.038868,0.012956
bigcodebench-hard/BigCodeBench/501,C,R1,v1-qwen,0,0,165,2546,0,2711,2711,1.000000,false,0.666667,0.077205,0.025666,0.005133,0.193425,0.038685,0.012895
bigcodebench-hard/BigCodeBench/501,C,R2,v1-qwen,174,613,0,0,787,0,787,0.000000,false,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bigcodebench-hard/BigCodeBench/501,C,R3,v1-qwen,5882,2561,3442,3245,8443,6687,15130,0.441970,false,0.000000,0.114560,0.036753,0.007351,0.295005,0.059001,0.019667
bigcodebench-hard/BigCodeBench/458,C,R1,v1-qwen,0,0,235,889,0,1124,1124,1.000000,true,1.000000,0.027845,0.009184,0.001837,0.070200,0.014040,0.004680
bigcodebench-hard/BigCodeBench/458,C,R2,v1-qwen,240,481,0,0,721,0,721,0.000000,false,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bigcodebench-hard/BigCodeBench/458,C,R3,v1-qwen,0,0,0,0,0,0,0,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
custom-arch/auth-multitenant-design,C,R1,v1-qwen,0,0,300,8000,0,8300,8300,1.000000,false,0.000000,0.241500,0.080375,0.016075,0.604500,0.120900,0.040300
custom-arch/auth-multitenant-design,C,R2,v1-qwen,310,3026,0,0,3336,0,3336,0.000000,,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
custom-arch/auth-multitenant-design,C,R3,v1-qwen,8486,7506,18217,10063,15992,28280,44272,0.638778,false,0.000000,0.392975,0.123401,0.024680,1.027980,0.205596,0.068532
custom-arch/migration-planning-zero-downtime,C,R1,v1-qwen,0,0,392,8000,0,8392,8392,1.000000,false,0.000000,0.241960,0.080490,0.016098,0.605880,0.121176,0.040392
custom-arch/migration-planning-zero-downtime,C,R2,v1-qwen,417,2831,0,0,3248,0,3248,0.000000,,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
custom-arch/migration-planning-zero-downtime,C,R3,v1-qwen,9618,8445,17512,10000,18063,27512,45575,0.603664,false,0.000000,0.387560,0.121890,0.024378,1.012680,0.202536,0.067512
custom-arch/code-review-flaky-test,C,R1,v1-qwen,0,0,546,8000,0,8546,8546,1.000000,false,0.000000,0.242730,0.080683,0.016137,0.608190,0.121638,0.040546
custom-arch/code-review-flaky-test,C,R2,v1-qwen,580,3019,0,0,3599,0,3599,0.000000,,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
custom-arch/code-review-flaky-test,C,R3,v1-qwen,13601,12000,18477,7236,25601,25713,51314,0.501091,false,0.000000,0.309465,0.095456,0.019091,0.819855,0.163971,0.054657
custom-arch/cache-invalidation-tradeoffs,C,R1,v1-qwen,0,0,286,6919,0,7205,7205,1.000000,,0.750000,0.209000,0.069547,0.013909,0.523215,0.104643,0.034881
custom-arch/cache-invalidation-tradeoffs,C,R2,v1-qwen,301,2404,0,0,2705,0,2705,0.000000,,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
custom-arch/cache-invalidation-tradeoffs,C,R3,v1-qwen,13905,8578,13470,7697,22483,21167,43650,0.484926,false,0.000000,0.298260,0.093807,0.018762,0.779325,0.155865,0.051955
custom-arch/production-debug-reasoning,C,R1,v1-qwen,0,0,372,8000,0,8372,8372,1.000000,false,0.000000,0.241860,0.080465,0.016093,0.605580,0.121116,0.040372
custom-arch/production-debug-reasoning,C,R2,v1-qwen,404,2683,0,0,3087,0,3087,0.000000,,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
custom-arch/production-debug-reasoning,C,R3,v1-qwen,3274,4048,13277,14907,7322,28184,35506,0.793781,false,0.000000,0.513595,0.165666,0.033133,1.317180,0.263436,0.087812
bigcodebench-hard/BigCodeBench/214,C,R1,v2-qwen-fixed,0,0,130,790,0,920,920,1.000000,false,0.800000,0.024350,0.008063,0.001613,0.061200,0.012240,0.004080
bigcodebench-hard/BigCodeBench/214,C,R3,v2-qwen-fixed,8071,1104,1988,1164,9175,3152,12327,0.255699,false,0.800000,0.044860,0.014125,0.002825,0.117120,0.023424,0.007808
bigcodebench-hard/BigCodeBench/82,C,R1,v2-qwen-fixed,0,0,247,1796,0,2043,2043,1.000000,false,0.833333,0.055115,0.018269,0.003654,0.138405,0.027681,0.009227
bigcodebench-hard/BigCodeBench/82,C,R3,v2-qwen-fixed,10357,3079,4130,2061,13436,6191,19627,0.315433,false,0.833333,0.082480,0.025773,0.005154,0.216525,0.043305,0.014435
bigcodebench-hard/BigCodeBench/530,C,R1,v2-qwen-fixed,0,0,263,925,0,1188,1188,1.000000,true,1.000000,0.029065,0.009579,0.001916,0.073320,0.014664,0.004888
bigcodebench-hard/BigCodeBench/530,C,R3,v2-qwen-fixed,5638,1830,640,613,7468,1253,8721,0.143676,true,1.000000,0.021590,0.006930,0.001386,0.055575,0.011115,0.003705
bigcodebench-hard/BigCodeBench/501,C,R1,v2-qwen-fixed,0,0,165,2093,0,2258,2258,1.000000,false,0.666667,0.063615,0.021136,0.004227,0.159450,0.031890,0.010630
bigcodebench-hard/BigCodeBench/501,C,R3,v2-qwen-fixed,4387,1426,2347,4770,5813,7117,12930,0.550425,false,0.166667,0.154835,0.050634,0.010127,0.392955,0.078591,0.026197
bigcodebench-hard/BigCodeBench/458,C,R1,v2-qwen-fixed,0,0,235,1362,0,1597,1597,1.000000,true,1.000000,0.042035,0.013914,0.002783,0.105675,0.021135,0.007045
bigcodebench-hard/BigCodeBench/458,C,R3,v2-qwen-fixed,9858,2748,3771,1951,12606,5722,18328,0.312200,true,1.000000,0.077385,0.024224,0.004845,0.202890,0.040578,0.013526
custom-arch/auth-multitenant-design,C,R1,v2-qwen-fixed,0,0,300,10275,0,10575,10575,1.000000,,1.000000,0.309750,0.103125,0.020625,0.775125,0.155025,0.051675
custom-arch/migration-planning-zero-downtime,C,R1,v2-qwen-fixed,0,0,392,9720,0,10112,10112,1.000000,,1.000000,0.293560,0.097690,0.019538,0.734880,0.146976,0.048992
custom-arch/code-review-flaky-test,C,R1,v2-qwen-fixed,0,0,546,9554,0,10100,10100,1.000000,,0.990000,0.289350,0.096223,0.019245,0.724740,0.144948,0.048316
custom-arch/cache-invalidation-tradeoffs,C,R1,v2-qwen-fixed,0,0,286,5222,0,5508,5508,1.000000,,0.970000,0.158090,0.052577,0.010516,0.395940,0.079188,0.026396
custom-arch/cache-invalidation-tradeoffs,C,R3,v2-qwen-fixed,6948,4735,11603,13440,11683,25043,36726,0.681887,,0.970000,0.461215,0.148904,0.029781,1.182045,0.236409,0.078803
custom-arch/production-debug-reasoning,C,R1,v2-qwen-fixed,0,0,372,9317,0,9689,9689,1.000000,,0.980000,0.281370,0.093635,0.018727,0.704355,0.140871,0.046957
custom-arch/production-debug-reasoning,C,R3,v2-qwen-fixed,3124,3063,14948,19453,6187,34401,40588,0.847566,,1.000000,0.658330,0.213215,0.042643,1.683195,0.336639,0.112213
custom-arch/auth-multitenant-design,C,R3,v2-qwen-fixed,6915,5796,16594,15950,12711,32544,45255,0.719125,,0.975000,0.561470,0.180242,0.036048,1.445160,0.289032,0.096344
custom-arch/migration-planning-zero-downtime,C,R3,v2-qwen-fixed,13397,10747,17331,12854,24144,30185,54329,0.555596,,0.980000,0.472275,0.150204,0.030041,1.224015,0.244803,0.081601
custom-arch/code-review-flaky-test,C,R3,v2-qwen-fixed,11272,9885,15560,12294,21157,27854,49011,0.568321,,0.990000,0.446620,0.142390,0.028478,1.155450,0.231090,0.077030
humaneval-plus/HumanEval_99,A,R2,v2-devstral,1407,63,0,0,1470,0,1470,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_99,A,R3,v2-devstral,5064,606,1490,1233,5670,2723,8393,0.324437,true,1.000000,0.044440,0.014192,0.002838,0.114825,0.022965,0.007655
humaneval-plus/HumanEval_123,A,R2,v2-devstral,1474,354,0,0,1828,0,1828,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_123,A,R3,v2-devstral,4559,1337,2431,1343,5896,3774,9670,0.390279,true,1.000000,0.052445,0.016469,0.003294,0.137190,0.027438,0.009146
humaneval-plus/HumanEval_103,A,R2,v2-devstral,1389,191,0,0,1580,0,1580,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_103,A,R3,v2-devstral,3193,761,1605,1086,3954,2691,6645,0.404966,true,1.000000,0.040605,0.012866,0.002573,0.105525,0.021105,0.007035
humaneval-plus/HumanEval_161,A,R2,v2-devstral,1350,189,0,0,1539,0,1539,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_161,A,R3,v2-devstral,2633,627,1416,796,3260,2212,5472,0.404240,true,1.000000,0.030960,0.009730,0.001946,0.080940,0.016188,0.005396
humaneval-plus/HumanEval_154,A,R2,v2-devstral,1376,92,0,0,1468,0,1468,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_154,A,R3,v2-devstral,2217,556,2423,1116,2773,3539,6312,0.560678,true,1.000000,0.045595,0.014189,0.002838,0.120045,0.024009,0.008003
humaneval-plus/HumanEval_15,A,R2,v2-devstral,1308,79,0,0,1387,0,1387,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_15,A,R3,v2-devstral,1824,333,449,421,2157,870,3027,0.287413,true,1.000000,0.014875,0.004771,0.000954,0.038310,0.007662,0.002554
humaneval-plus/HumanEval_13,A,R2,v2-devstral,1313,93,0,0,1406,0,1406,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_13,A,R3,v2-devstral,391,129,451,246,520,697,1217,0.572720,true,1.000000,0.009635,0.003024,0.000605,0.025215,0.005043,0.001681
humaneval-plus/HumanEval_121,A,R2,v2-devstral,1346,132,0,0,1478,0,1478,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_121,A,R3,v2-devstral,2476,542,1299,812,3018,2111,5129,0.411581,true,1.000000,0.030855,0.009744,0.001949,0.080385,0.016077,0.005359
humaneval-plus/HumanEval_77,A,R2,v2-devstral,1365,139,0,0,1504,0,1504,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_77,A,R3,v2-devstral,3780,801,2291,1407,4581,3698,8279,0.446672,true,1.000000,0.053665,0.016934,0.003387,0.139890,0.027978,0.009326
humaneval-plus/HumanEval_118,A,R2,v2-devstral,1394,91,0,0,1485,0,1485,0.000000,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
humaneval-plus/HumanEval_118,A,R3,v2-devstral,3028,847,1715,773,3875,2488,6363,0.391011,true,1.000000,0.031765,0.009874,0.001975,0.083700,0.016740,0.005580
swebench-verified/sphinx-doc__sphinx-7889,B,R2,v2-devstral,1708,291,0,0,1999,0,1999,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/sphinx-doc__sphinx-7889,B,R3,v2-devstral,16174,2543,3898,3517,18717,7415,26132,0.283752,false,0.000000,0.125000,0.040043,0.008008,0.322245,0.064449,0.021483
swebench-verified/django__django-13512,B,R2,v2-devstral,1429,217,0,0,1646,0,1646,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/django__django-13512,B,R3,v2-devstral,12882,1678,3454,6724,14560,10178,24738,0.411432,false,0.000000,0.218990,0.071557,0.014311,0.556110,0.111222,0.037074
swebench-verified/django__django-11179,B,R2,v2-devstral,1383,156,0,0,1539,0,1539,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/django__django-11179,B,R3,v2-devstral,8747,1491,2812,7431,10238,10243,20481,0.500122,true,1.000000,0.236990,0.077825,0.015565,0.599505,0.119901,0.039967
swebench-verified/sphinx-doc__sphinx-9698,B,R2,v2-devstral,1591,151,0,0,1742,0,1742,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/sphinx-doc__sphinx-9698,B,R3,v2-devstral,15810,2388,4748,6813,18198,11561,29759,0.388488,false,0.000000,0.228130,0.074065,0.014813,0.582195,0.116439,0.038813
swebench-verified/django__django-15863,B,R2,v2-devstral,1544,226,0,0,1770,0,1770,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/django__django-15863,B,R3,v2-devstral,10402,2220,3132,3766,12622,6898,19520,0.353381,true,1.000000,0.128640,0.041575,0.008315,0.329430,0.065886,0.021962
swebench-verified/pydata__xarray-4356,B,R2,v2-devstral,1563,204,0,0,1767,0,1767,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/pydata__xarray-4356,B,R3,v2-devstral,15243,2988,4071,3570,18231,7641,25872,0.295339,false,0.000000,0.127455,0.040789,0.008158,0.328815,0.065763,0.021921
swebench-verified/sphinx-doc__sphinx-9711,B,R2,v2-devstral,1832,285,0,0,2117,0,2117,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/sphinx-doc__sphinx-9711,B,R3,v2-devstral,14079,3166,5948,7308,17245,13256,30501,0.434609,false,0.000000,0.248980,0.080515,0.016103,0.637320,0.127464,0.042488
swebench-verified/django__django-15315,B,R2,v2-devstral,1518,390,0,0,1908,0,1908,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/django__django-15315,B,R3,v2-devstral,8410,1485,3545,3842,9895,7387,17282,0.427439,false,0.000000,0.132985,0.042851,0.008570,0.341325,0.068265,0.022755
swebench-verified/astropy__astropy-7166,B,R2,v2-devstral,1357,432,0,0,1789,0,1789,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/astropy__astropy-7166,B,R3,v2-devstral,16224,2346,3700,4543,18570,8243,26813,0.307426,false,0.000000,0.154790,0.050055,0.010011,0.396225,0.079245,0.026415
swebench-verified/django__django-11163,B,R2,v2-devstral,1411,170,0,0,1581,0,1581,0.000000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
swebench-verified/django__django-11163,B,R3,v2-devstral,8101,1405,2572,2596,9506,5168,14674,0.352188,true,1.000000,0.090740,0.029175,0.005835,0.233280,0.046656,0.015552
bigcodebench-hard/BigCodeBench/214,C,R2,v2-devstral,1358,330,0,0,1688,0,1688,0.000000,false,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bigcodebench-hard/BigCodeBench/214,C,R3,v2-devstral,9071,1025,1887,1564,10096,3451,13547,0.254743,false,0.800000,0.056355,0.017999,0.003600,0.145605,0.029121,0.009707
