variant,task_id,route,category,source_run,cost_openai-gpt5.5,cost_openai-gpt5,cost_openai-gpt5-mini,cost_anthropic-claude-opus-4.7,cost_anthropic-claude-sonnet-4.6,cloud_tokens,local_tokens
,humaneval-plus/HumanEval_123,R4,A,runs/05-r4-catA,0.076250,0.023983,0.004797,0.199230,0.039846,5410,898
,humaneval-plus/HumanEval_103,R4,A,runs/05-r4-catA,0.053475,0.016626,0.003325,0.140880,0.028176,4180,474
,humaneval-plus/HumanEval_161,R4,A,runs/05-r4-catA,0.056260,0.017673,0.003535,0.147135,0.029427,4037,464
,humaneval-plus/HumanEval_154,R4,A,runs/05-r4-catA,0.054520,0.017035,0.003407,0.143130,0.028626,4094,465
,humaneval-plus/HumanEval_15,R4,A,runs/05-r4-catA,0.057420,0.017857,0.003572,0.151245,0.030249,4479,355
,humaneval-plus/HumanEval_13,R4,A,runs/05-r4-catA,0.061330,0.019303,0.003861,0.160170,0.032034,4326,516
,humaneval-plus/HumanEval_121,R4,A,runs/05-r4-catA,0.059720,0.018677,0.003735,0.156675,0.031335,4449,508
,humaneval-plus/HumanEval_77,R4,A,runs/05-r4-catA,0.082965,0.026086,0.005217,0.216825,0.043365,5903,628
,humaneval-plus/HumanEval_118,R4,A,runs/05-r4-catA,0.081010,0.025715,0.005143,0.210255,0.042051,5277,528
,bigcodebench-hard/BigCodeBench/214,R4,C,runs/06-r4-catC,0.094920,0.030257,0.006052,0.245595,0.049119,5929,469
,bigcodebench-hard/BigCodeBench/82,R4,C,runs/06-r4-catC,0.099220,0.031348,0.006269,0.258405,0.051681,6759,887
